dataset_record_id,tweet_id,system,model,model_version_or_revision,generated_translation,generation_status,generation_timestamp,run_id,input_sha256,record_input_sha256,output_sha256,attempted,runtime_seconds,error_code,metadata_json
record:ee6b9bf66dbd6cc0b279c62c96becca3157dae6b07ad5957b0bf86ea16fdcc81,1012190838569521157,huggingface,meta-llama/Llama-3.1-8B-Instruct,UNAVAILABLE_NOT_RETURNED,,GENERATION_FAILED,2026-09-12T07:16:42.567000+00:00,20260912_blind_v3,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,edce16bd0719d954377c7715764a0c8a59746094eda5d6de2c7c52d8e6a54d8f,,True,4.581827,MALFORMED_STRUCTURED_OUTPUT,{}
record:b677d82edd185e99921406af6cd74e1ca04bb5aab3b622b63690af7ed7c0e913,1036139686652039169,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,Traffic Alert a tree has fallen near Agarwal Sweets on Abhay Marg and is affecting traffic.,SUCCESS,2026-09-12T07:16:47.148330+00:00,20260912_blind_v3,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,0fd0b71da3bf4c3746c36be1bccde258d1a3c43181b83b76f24a5f482b5af569,a3cc203a863d4d52d965f7f48b9f324539593ac6ef225b917e6c000e049fbfa1,True,3.177675,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""cf1840f205ed59632a3767bcd0ab358c"",""usage"":{""completion_tokens"":182,""completion_tokens_details"":null,""prompt_tokens"":736,""prompt_tokens_details"":null,""total_tokens"":918}}"
record:4ca521b25942749878330404fbd061bae37f4b7a2e441b23ac7251b9c10890f2,558811604566179840,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert Sardar Patel Marg will be closed from 9AM in the morning for approximately 1 hour 30 minutes to 2 hours due to rehearsal, apologies for the inconvenience.",SUCCESS,2026-09-12T07:16:50.326336+00:00,20260912_blind_v3,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,148a4a2cf732745036fae30c44123cf767eb8ba031e64ad7bef7b635db06f02c,4311f405f3e60fe6f5935cb7e56223654c006a8a86b8e350c6d406256f7e2da6,True,3.058291,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""8ed8e31d1807ee0a2101863a675c090b"",""usage"":{""completion_tokens"":125,""completion_tokens_details"":null,""prompt_tokens"":760,""prompt_tokens_details"":null,""total_tokens"":885}}"
record:5061a97dc3a3cbfa703e6feb9541c63497cd748ae95e8d547dfcd8f065a5757d,1026805620727529472,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert due to road subsidence near the GK-2 metro station on the Outer Ring Road, traffic is disrupted on the path from Delhi to Nehru Place.",SUCCESS,2026-09-12T07:16:53.384392+00:00,20260912_blind_v3,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,1d851bc296b1b660ff205790c3247a9aafa7ab1d98a058c5e0326a6e694574ff,5e27c95b6e09277355c8e6fa519ba7904cd2887afd916fba33d0eaf3fff13aa4,True,4.158635,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""9875f9ef52236de07e19ffa68a74d2fc"",""usage"":{""completion_tokens"":313,""completion_tokens_details"":null,""prompt_tokens"":771,""prompt_tokens_details"":null,""total_tokens"":1084}}"
record:94de5bdc1318d567088043953c8c20795dc740f870ac0727cd36b5eb5fd76122,1090608305989476357,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert due to fallen power poles, traffic is disrupted on the road leading to Rani Kheda from Mundka (both carriageways)",SUCCESS,2026-09-12T07:16:57.544082+00:00,20260912_blind_v3,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,9ef09b520c58fdc48b63c803b01d23ee13e60e60bc9b731b2f13e7e006e06b37,15c7769bc49078aa1e643f6867f42042b3c15f26466455263a8373e6f297412b,True,3.342104,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""fc70543fcf66d2c25481d98456e91427"",""usage"":{""completion_tokens"":188,""completion_tokens_details"":null,""prompt_tokens"":758,""prompt_tokens_details"":null,""total_tokens"":946}}"
record:4f17e94f099fbf214d453bfebd75a1c5979c141dfee8f78dcd256dcbfd8ff0f4,1072369605442715649,huggingface,meta-llama/Llama-3.1-8B-Instruct,UNAVAILABLE_NOT_RETURNED,,GENERATION_FAILED,2026-09-12T07:17:00.876495+00:00,20260912_blind_v3,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,9c64a9f45d5bcfc690df7fbe10dfd384fd98968a6b14e1b476f5cc8958c3b5ee,,True,4.466672,MALFORMED_STRUCTURED_OUTPUT,{}
record:02f6a69f3714c2ec41b69b760691e1d937446bd26a14077a00b2fb97daa5bce7,634055024218349568,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,Traffic Alert Rani Jhansi Road is now normal.,SUCCESS,2026-09-12T07:17:05.347556+00:00,20260912_blind_v3,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,d5dfece38517f41633a7708125f5f7d53038c61a79ec8958a48a9b2719cd7414,b09a57d9fdbb237b2d954bd519c8484ad489faf45ee0db8c1af39248a23e188a,True,2.76276,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""3806b46b791340b9d733cd039e9f089c"",""usage"":{""completion_tokens"":100,""completion_tokens_details"":null,""prompt_tokens"":724,""prompt_tokens_details"":null,""total_tokens"":824}}"
record:df8ad61816073f0629f33d910c492214c8361c6d8852c7edd3d925e85895d753,910364679301681153,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert those who want to go from Vasant Vihar to Gurugram or towards the Airport, can go via Nelson Mandela Marg",SUCCESS,2026-09-12T07:17:08.116531+00:00,20260912_blind_v3,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,13c840caf38b58d6d787d6361cede9c32ef0b8de00d83b35fe3362a8d29d379e,b05d2419cf7ca77daf2564d617304d94b8c1264855166958dd7c4386b777be6b,True,3.887666,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""cfd149b77799efa7ca490b7a1df7d347"",""usage"":{""completion_tokens"":304,""completion_tokens_details"":null,""prompt_tokens"":753,""prompt_tokens_details"":null,""total_tokens"":1057}}"
record:d6c991350b25a5eef3d31c6bfc26a7c83190976a42eb0bb6b60f3c4f22db6658,1036507271302340609,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,Traffic Alert Indramohan Bhardwaj Marg is blocked due to waterlogging at Kalindi Kunj!,SUCCESS,2026-09-12T07:17:12.004423+00:00,20260912_blind_v3,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,ac8bbb3edefde3f21fc62bf4aad8b0460783acc07d2d23fe2a602b054023ba51,0b051f4158ce6009e40b08c50236884727e7ec7f5acb9563d9e3531febf5c8a1,True,3.311838,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""cff19a186ea1109a18c01f13b48aa552"",""usage"":{""completion_tokens"":197,""completion_tokens_details"":null,""prompt_tokens"":745,""prompt_tokens_details"":null,""total_tokens"":942}}"
record:14baa78ac3f1c1b74c9115dd863432f03395e9691b60e0520a80caaf83f7eba0,864089977109401601,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,Traffic Alert on Jaswant Singh Gol Chakkar towards Windsor Place route is blocked due to a fallen tree in front of BJP Office causing traffic congestion.,SUCCESS,2026-09-12T07:17:15.314957+00:00,20260912_blind_v3,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,a22ab834991b10cbc7ec47a506ea71ff7cfe671fd7f16badeb151ac9c7aaba29,9801b33267754a260870a7cffeb414becc9ff21d9ce86c2020c6354b830cf8a5,True,3.589572,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""97cd57b4fc01a8f23542e94accee4bcf"",""usage"":{""completion_tokens"":270,""completion_tokens_details"":null,""prompt_tokens"":765,""prompt_tokens_details"":null,""total_tokens"":1035}}"
