dataset_record_id,tweet_id,system,model,model_version_or_revision,generated_translation,generation_status,generation_timestamp,run_id,input_sha256,record_input_sha256,output_sha256,attempted,runtime_seconds,error_code,metadata_json
record:ee6b9bf66dbd6cc0b279c62c96becca3157dae6b07ad5957b0bf86ea16fdcc81,1012190838569521157,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert: Road caved in near Nangloi crematorium and TVS showroom on the route from Nangloi to Najafgarh, causing traffic congestion. Please avoid using this route.",SUCCESS,2026-09-12T07:22:15.389563+00:00,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,edce16bd0719d954377c7715764a0c8a59746094eda5d6de2c7c52d8e6a54d8f,7cb7a198322e6d582343e09779a30dc603102818909a660db0e72f5554c16a5f,True,7.282071,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""3e22f77e0e52c7fe6dae55e0b4217d92"",""usage"":{""completion_tokens"":350,""completion_tokens_details"":null,""prompt_tokens"":1048,""prompt_tokens_details"":null,""total_tokens"":1398}}"
record:b677d82edd185e99921406af6cd74e1ca04bb5aab3b622b63690af7ed7c0e913,1036139686652039169,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"A tree has fallen near Agarwal Sweets on Abhay Marg, affecting traffic.",SUCCESS,2026-09-12T07:22:22.673614+00:00,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,0fd0b71da3bf4c3746c36be1bccde258d1a3c43181b83b76f24a5f482b5af569,4a001b9b9b564607157e465b2cb75f4bcb2ad39bc310aac6a31faa110779a413,True,5.392608,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""3e95a3f541234f091629c3dc2154c096"",""usage"":{""completion_tokens"":165,""completion_tokens_details"":null,""prompt_tokens"":1001,""prompt_tokens_details"":null,""total_tokens"":1166}}"
record:4ca521b25942749878330404fbd061bae37f4b7a2e441b23ac7251b9c10890f2,558811604566179840,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert Sardar Patel Marg will be closed from 9AM to 1:30PM for rehearsal, apologies for the inconvenience.",SUCCESS,2026-09-12T07:22:28.066039+00:00,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,148a4a2cf732745036fae30c44123cf767eb8ba031e64ad7bef7b635db06f02c,b6e94f33daa20d7d11da8cb9e11738aba48946e3dec97ce2308e95ddbc8f924e,True,5.417602,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""929d90d3b6a548e786cea1e03e055666"",""usage"":{""completion_tokens"":133,""completion_tokens_details"":null,""prompt_tokens"":1025,""prompt_tokens_details"":null,""total_tokens"":1158}}"
record:5061a97dc3a3cbfa703e6feb9541c63497cd748ae95e8d547dfcd8f065a5757d,1026805620727529472,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,Traffic Alert due to road caving in at the location near GK-2 Metro Station on the Outer Ring Road from Chirag Delhi towards Nehru Place.,SUCCESS,2026-09-12T07:22:33.484053+00:00,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,1d851bc296b1b660ff205790c3247a9aafa7ab1d98a058c5e0326a6e694574ff,e2a7f7fc8181eab8a1993ba32c0cccc459f922c44a89de334a63bf7f94652daf,True,6.434862,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""9f60e95c88632566067b89d0f59f0f10"",""usage"":{""completion_tokens"":388,""completion_tokens_details"":null,""prompt_tokens"":1036,""prompt_tokens_details"":null,""total_tokens"":1424}}"
record:94de5bdc1318d567088043953c8c20795dc740f870ac0727cd36b5eb5fd76122,1090608305989476357,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert due to fallen power poles, traffic is congested on the road towards Rani Kheda from Mundka (both carriageways).",SUCCESS,2026-09-12T07:22:39.908985+00:00,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,9ef09b520c58fdc48b63c803b01d23ee13e60e60bc9b731b2f13e7e006e06b37,62e94dc3853523301ba8c416dc500bfe540c26640958f34945c86969e97a0eeb,True,5.609435,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""3a50d071a839b1044065c79c3cf4182b"",""usage"":{""completion_tokens"":196,""completion_tokens_details"":null,""prompt_tokens"":1023,""prompt_tokens_details"":null,""total_tokens"":1219}}"
record:4f17e94f099fbf214d453bfebd75a1c5979c141dfee8f78dcd256dcbfd8ff0f4,1072369605442715649,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert, there is congestion on the route from Liberty Cinema to Kamal T-Point due to IGL work.",SUCCESS,2026-09-12T07:22:45.528158+00:00,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,9c64a9f45d5bcfc690df7fbe10dfd384fd98968a6b14e1b476f5cc8958c3b5ee,6cf1670f2249cdfdf4af33386f27178845f1bb93aaf22988855bbfdc3392d546,True,5.664135,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""a3b6700fca4524615d29c5db6c468e92"",""usage"":{""completion_tokens"":213,""completion_tokens_details"":null,""prompt_tokens"":1038,""prompt_tokens_details"":null,""total_tokens"":1251}}"
record:02f6a69f3714c2ec41b69b760691e1d937446bd26a14077a00b2fb97daa5bce7,634055024218349568,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,Traffic is normal on Rani Jhansi Road.,SUCCESS,2026-09-12T07:22:51.192177+00:00,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,d5dfece38517f41633a7708125f5f7d53038c61a79ec8958a48a9b2719cd7414,7c6b78b119040c526ce4a10dcbb04db7d4ca82bc9ada60c34489abf539622745,True,5.254092,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""cfec09ac6dec5989d63a47ac79f8b9a8"",""usage"":{""completion_tokens"":99,""completion_tokens_details"":null,""prompt_tokens"":989,""prompt_tokens_details"":null,""total_tokens"":1088}}"
record:df8ad61816073f0629f33d910c492214c8361c6d8852c7edd3d925e85895d753,910364679301681153,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,"Traffic Alert, vehicles going from Vasant Vihar to Gurugram or Airport can go from Nelson Mandela Marg.",SUCCESS,2026-09-12T07:22:56.445813+00:00,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,13c840caf38b58d6d787d6361cede9c32ef0b8de00d83b35fe3362a8d29d379e,d723f95f971bd78031978bc2e7e00d2bd52e0fdd646fdd9460428666a45837f4,True,6.496388,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""cb285cbaa3b7059f59b3feac0c11425a"",""usage"":{""completion_tokens"":392,""completion_tokens_details"":null,""prompt_tokens"":1018,""prompt_tokens_details"":null,""total_tokens"":1410}}"
record:d6c991350b25a5eef3d31c6bfc26a7c83190976a42eb0bb6b60f3c4f22db6658,1036507271302340609,huggingface,meta-llama/Llama-3.1-8B-Instruct,meta-llama/llama-3.1-8b-instruct,Traffic Alert Indramohan Bhardwaj Marg is congested due to waterlogging at Kalindi Kunj.,SUCCESS,2026-09-12T07:23:02.939574+00:00,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,ac8bbb3edefde3f21fc62bf4aad8b0460783acc07d2d23fe2a602b054023ba51,eea6c96a209665a3aefc2efac635cb465d7f5a7f016444a989f41587e10ac347,True,5.530365,,"{""actual_model"":""meta-llama/llama-3.1-8b-instruct"",""api"":""huggingface_hub.InferenceClient.chat_completion (auto-routed Inference Providers)"",""backend_provider"":""not exposed by the API; auto-routing can change over time"",""response_id"":""ed386dc90c709ecd69896d4be194c1a8"",""usage"":{""completion_tokens"":180,""completion_tokens_details"":null,""prompt_tokens"":1010,""prompt_tokens_details"":null,""total_tokens"":1190}}"
record:14baa78ac3f1c1b74c9115dd863432f03395e9691b60e0520a80caaf83f7eba0,864089977109401601,huggingface,meta-llama/Llama-3.1-8B-Instruct,UNAVAILABLE_NOT_RETURNED,,GENERATION_FAILED,2026-09-12T07:23:08.472175+00:00,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,a22ab834991b10cbc7ec47a506ea71ff7cfe671fd7f16badeb151ac9c7aaba29,,True,4.239332,PROVIDER_EXCEPTION_HfHubHTTPError,{}
